name_graph,num_vertices,solution_colors,n_conflitos,n_cores_genetico,n_conflitos_genetico,
Graph 0,100,4890,20,0,19,5,
Graph 1,100,4942,20,0,19,0,
Graph 2,100,4890,20,0,19,1,
Graph 3,100,4950,21,0,20,0,
Graph 4,100,4950,20,0,18,1,
Graph 5,100,4844,20,0,19,1,
Graph 6,100,4864,19,0,19,0,
Graph 7,100,4950,20,0,20,0,
Graph 8,100,4906,21,0,21,0,
Graph 9,100,4950,21,0,19,5,
Graph 10,100,4894,19,0,19,0,
Graph 11,100,4820,20,0,19,2,
Graph 12,100,4950,19,0,19,0,
Graph 13,100,4910,20,0,20,0,
Graph 14,100,4950,19,0,19,0,
Graph 15,100,4950,20,0,19,2,
Graph 16,100,4950,21,0,21,0,
Graph 17,100,4912,20,0,18,2,
Graph 18,100,4950,19,0,19,0,
Graph 19,100,4902,19,0,19,0,
Graph 20,300,44710,47,0,47,0,
Graph 21,300,44688,46,0,46,2,
Graph 22,300,44850,46,0,46,0,
Graph 23,300,44850,49,0,48,0,
Graph 24,300,44850,48,0,47,6,
Graph 25,300,44850,47,0,46,1,
Graph 26,300,44780,48,0,47,4,
Graph 27,300,44850,47,0,46,3,
Graph 28,300,44850,49,0,47,2,
Graph 29,300,44510,47,0,46,0,
Graph 30,500,124750,70,0,68,4,
Graph 31,500,124346,71,0,69,2,
Graph 32,500,124750,71,0,70,1,
Graph 33,500,124750,72,0,70,10,
Graph 34,500,124750,72,0,70,5,
Graph 35,1000,499326,124,0,124,0,
DSJC1000.1.col,1000,49629,29,275,29,173,
DSJC1000.5.col,1000,249826,118,321,117,230,
DSJC1000.9.col,1000,449449,276,1037,274,386,
DSJC125.1.col,125,736,7,42,6,5,
DSJC125.5.col,125,3891,23,56,22,12,
DSJC125.9.col,125,6961,40,240,38,36,
DSJC250.1.col,250,3218,11,82,10,23,
DSJC250.5.col,250,15668,38,126,37,53,
DSJC250.9.col,250,27897,77,388,76,67,
DSJC500.1.col,500,12458,17,129,17,60,
DSJC500.5.col,500,62624,67,174,66,106,
DSJC500.9.col,500,112437,150,568,149,165,
DSJR500.1.col,500,3555,10,195,9,71,
DSJR500.1c.col,500,121275,119,1620,118,167,
DSJR500.5.col,500,58862,83,590,82,172,
fpsol2.i.1.col,496,11654,10,2353,10,279,
fpsol2.i.2.col,451,8691,13,951,12,100,
fpsol2.i.3.col,425,8688,12,964,12,121,
inithx.i.1.col,864,18707,9,4151,9,719,
inithx.i.2.col,645,13979,12,2199,11,277,
inithx.i.3.col,621,13969,12,2281,11,258,
mulsol.i.1.col,197,3925,7,983,7,135,
mulsol.i.2.col,188,3885,11,763,10,47,
mulsol.i.3.col,184,3916,11,771,10,54,
mulsol.i.4.col,185,3946,11,770,9,64,
mulsol.i.5.col,186,3973,11,769,10,52,
zeroin.i.1.col,211,4100,9,1038,9,91,
zeroin.i.2.col,211,3541,12,672,11,37,
zeroin.i.3.col,206,3540,12,680,11,40,
le450_15a.col,450,8168,17,135,16,61,
le450_15b.col,450,8169,17,124,16,65,
le450_15b.col.txt,450,8169,17,124,16,63,
